nombre_departamento;periodo;anio_inicio;anio_fin;total_diputados;partido;curules;partido_normalizado
AMAZONAS;2016-2019;2016;2019;11;La U;2;Partido de la U
AMAZONAS;2016-2019;2016;2019;11;Alianza Verde;1;Alianza Verde
AMAZONAS;2016-2019;2016;2019;11;ASI;1;ASI (Alianza Social Independiente)
AMAZONAS;2016-2019;2016;2019;11;Cambio Radical;1;Cambio Radical
AMAZONAS;2016-2019;2016;2019;11;Centro Democrático;1;Centro Democrático
AMAZONAS;2016-2019;2016;2019;11;Conservador;1;Partido Conservador
AMAZONAS;2016-2019;2016;2019;11;Liberal;1;Partido Liberal
AMAZONAS;2016-2019;2016;2019;11;MAIS;1;MAIS
AMAZONAS;2016-2019;2016;2019;11;Opción Ciudadana;1;Opción Ciudadana
AMAZONAS;2016-2019;2016;2019;11;Polo Democrático;1;Polo Democrático Alternativo
ANTIOQUIA;2016-2019;2016;2019;26;Centro Democrático;7;Centro Democrático
ANTIOQUIA;2016-2019;2016;2019;26;Liberal;5;Partido Liberal
ANTIOQUIA;2016-2019;2016;2019;26;Conservador;4;Partido Conservador
ANTIOQUIA;2016-2019;2016;2019;26;La U;4;Partido de la U
ANTIOQUIA;2016-2019;2016;2019;26;Alianza Verde;2;Alianza Verde
ANTIOQUIA;2016-2019;2016;2019;26;Cambio Radical;2;Cambio Radical
ANTIOQUIA;2016-2019;2016;2019;26;ASI;1;ASI (Alianza Social Independiente)
ANTIOQUIA;2016-2019;2016;2019;26;Polo Democrático;1;Polo Democrático Alternativo
ARAUCA;2016-2019;2016;2019;11;La U;4;Partido de la U
ARAUCA;2016-2019;2016;2019;11;Liberal;3;Partido Liberal
ARAUCA;2016-2019;2016;2019;11;Alianza Verde;1;Alianza Verde
ARAUCA;2016-2019;2016;2019;11;ASI;1;ASI (Alianza Social Independiente)
ARAUCA;2016-2019;2016;2019;11;Cambio Radical;1;Cambio Radical
ARAUCA;2016-2019;2016;2019;11;Polo Democrático;1;Polo Democrático Alternativo
ATLÁNTICO;2016-2019;2016;2019;14;Cambio Radical;5;Cambio Radical
ATLÁNTICO;2016-2019;2016;2019;14;Conservador;4;Partido Conservador
ATLÁNTICO;2016-2019;2016;2019;14;La U;3;Partido de la U
ATLÁNTICO;2016-2019;2016;2019;14;Liberal;2;Partido Liberal
BOLÍVAR;2016-2019;2016;2019;14;Cambio Radical;4;Cambio Radical
BOLÍVAR;2016-2019;2016;2019;14;Liberal;4;Partido Liberal
BOLÍVAR;2016-2019;2016;2019;14;La U;3;Partido de la U
BOLÍVAR;2016-2019;2016;2019;14;Conservador;2;Partido Conservador
BOLÍVAR;2016-2019;2016;2019;14;Centro Democrático;1;Centro Democrático
BOYACÁ;2016-2019;2016;2019;16;Cambio Radical;5;Cambio Radical
BOYACÁ;2016-2019;2016;2019;16;Alianza Verde;3;Alianza Verde
BOYACÁ;2016-2019;2016;2019;16;Centro Democrático;2;Centro Democrático
BOYACÁ;2016-2019;2016;2019;16;Conservador;2;Partido Conservador
BOYACÁ;2016-2019;2016;2019;16;La U;2;Partido de la U
BOYACÁ;2016-2019;2016;2019;16;Liberal;2;Partido Liberal
CALDAS;2016-2019;2016;2019;14;La U;5;Partido de la U
CALDAS;2016-2019;2016;2019;14;Conservador;3;Partido Conservador
CALDAS;2016-2019;2016;2019;14;Liberal;3;Partido Liberal
CALDAS;2016-2019;2016;2019;14;Centro Democrático;2;Centro Democrático
CALDAS;2016-2019;2016;2019;14;Cambio Radical;1;Cambio Radical
CAQUETÁ;2016-2019;2016;2019;11;Conservador;2;Partido Conservador
CAQUETÁ;2016-2019;2016;2019;11;Liberal;2;Partido Liberal
CAQUETÁ;2016-2019;2016;2019;11;MIRA;2;MIRA
CAQUETÁ;2016-2019;2016;2019;11;Alianza Verde;1;Alianza Verde
CAQUETÁ;2016-2019;2016;2019;11;Cambio Radical;1;Cambio Radical
CAQUETÁ;2016-2019;2016;2019;11;Centro Democrático;1;Centro Democrático
CAQUETÁ;2016-2019;2016;2019;11;La U;1;Partido de la U
CAQUETÁ;2016-2019;2016;2019;11;Polo Democrático;1;Polo Democrático Alternativo
CASANARE;2016-2019;2016;2019;11;Alianza Verde;2;Alianza Verde
CASANARE;2016-2019;2016;2019;11;Cambio Radical;2;Cambio Radical
CASANARE;2016-2019;2016;2019;11;La U;2;Partido de la U
CASANARE;2016-2019;2016;2019;11;Liberal;2;Partido Liberal
CASANARE;2016-2019;2016;2019;11;ASI;1;ASI (Alianza Social Independiente)
CASANARE;2016-2019;2016;2019;11;Centro Democrático;1;Centro Democrático
CASANARE;2016-2019;2016;2019;11;Opción Ciudadana;1;Opción Ciudadana
CAUCA;2016-2019;2016;2019;13;La U;3;Partido de la U
CAUCA;2016-2019;2016;2019;13;Liberal;3;Partido Liberal
CAUCA;2016-2019;2016;2019;13;Alianza Verde;2;Alianza Verde
CAUCA;2016-2019;2016;2019;13;ASI;1;ASI (Alianza Social Independiente)
CAUCA;2016-2019;2016;2019;13;Cambio Radical;1;Cambio Radical
CAUCA;2016-2019;2016;2019;13;Conservador;1;Partido Conservador
CAUCA;2016-2019;2016;2019;13;MAIS;1;MAIS
CAUCA;2016-2019;2016;2019;13;MIRA;1;MIRA
CESAR;2016-2019;2016;2019;11;La U;3;Partido de la U
CESAR;2016-2019;2016;2019;11;Cambio Radical;2;Cambio Radical
CESAR;2016-2019;2016;2019;11;Conservador;2;Partido Conservador
CESAR;2016-2019;2016;2019;11;Alianza Verde;1;Alianza Verde
CESAR;2016-2019;2016;2019;11;ASI;1;ASI (Alianza Social Independiente)
CESAR;2016-2019;2016;2019;11;Liberal;1;Partido Liberal
CESAR;2016-2019;2016;2019;11;Opción Ciudadana;1;Opción Ciudadana
CHOCÓ;2016-2019;2016;2019;11;Liberal;3;Partido Liberal
CHOCÓ;2016-2019;2016;2019;11;Cambio Radical;2;Cambio Radical
CHOCÓ;2016-2019;2016;2019;11;Conservador;2;Partido Conservador
CHOCÓ;2016-2019;2016;2019;11;La U;2;Partido de la U
CHOCÓ;2016-2019;2016;2019;11;Alianza Verde;1;Alianza Verde
CHOCÓ;2016-2019;2016;2019;11;Opción Ciudadana;1;Opción Ciudadana
CUNDINAMARCA;2016-2019;2016;2019;16;La U;5;Partido de la U
CUNDINAMARCA;2016-2019;2016;2019;16;Cambio Radical;3;Cambio Radical
CUNDINAMARCA;2016-2019;2016;2019;16;Centro Democrático;2;Centro Democrático
CUNDINAMARCA;2016-2019;2016;2019;16;Conservador;2;Partido Conservador
CUNDINAMARCA;2016-2019;2016;2019;16;Liberal;2;Partido Liberal
CUNDINAMARCA;2016-2019;2016;2019;16;Alianza Verde;1;Alianza Verde
CUNDINAMARCA;2016-2019;2016;2019;16;Opción Ciudadana;1;Opción Ciudadana
CÓRDOBA;2016-2019;2016;2019;13;La U;5;Partido de la U
CÓRDOBA;2016-2019;2016;2019;13;Liberal;3;Partido Liberal
CÓRDOBA;2016-2019;2016;2019;13;Conservador;2;Partido Conservador
CÓRDOBA;2016-2019;2016;2019;13;Opción Ciudadana;2;Opción Ciudadana
CÓRDOBA;2016-2019;2016;2019;13;Centro Democrático;1;Centro Democrático
GUAINÍA;2016-2019;2016;2019;11;Cambio Radical;3;Cambio Radical
GUAINÍA;2016-2019;2016;2019;11;AICO;1;AICO
GUAINÍA;2016-2019;2016;2019;11;Alianza Verde;1;Alianza Verde
GUAINÍA;2016-2019;2016;2019;11;ASI;1;ASI (Alianza Social Independiente)
GUAINÍA;2016-2019;2016;2019;11;Centro Democrático;1;Centro Democrático
GUAINÍA;2016-2019;2016;2019;11;Conservador;1;Partido Conservador
GUAINÍA;2016-2019;2016;2019;11;La U;1;Partido de la U
GUAINÍA;2016-2019;2016;2019;11;Liberal;1;Partido Liberal
GUAINÍA;2016-2019;2016;2019;11;Polo Democrático;1;Polo Democrático Alternativo
GUAVIARE;2016-2019;2016;2019;11;La U;3;Partido de la U
GUAVIARE;2016-2019;2016;2019;11;Cambio Radical;2;Cambio Radical
GUAVIARE;2016-2019;2016;2019;11;Conservador;2;Partido Conservador
GUAVIARE;2016-2019;2016;2019;11;AICO;1;AICO
GUAVIARE;2016-2019;2016;2019;11;Alianza Verde;1;Alianza Verde
GUAVIARE;2016-2019;2016;2019;11;Centro Democrático;1;Centro Democrático
GUAVIARE;2016-2019;2016;2019;11;Liberal;1;Partido Liberal
HUILA;2016-2019;2016;2019;12;La U;3;Partido de la U
HUILA;2016-2019;2016;2019;12;Alianza Verde;2;Alianza Verde
HUILA;2016-2019;2016;2019;12;Cambio Radical;2;Cambio Radical
HUILA;2016-2019;2016;2019;12;Conservador;2;Partido Conservador
HUILA;2016-2019;2016;2019;12;Liberal;2;Partido Liberal
HUILA;2016-2019;2016;2019;12;Centro Democrático;1;Centro Democrático
LA GUAJIRA;2016-2019;2016;2019;11;ASI;3;ASI (Alianza Social Independiente)
LA GUAJIRA;2016-2019;2016;2019;11;Liberal;2;Partido Liberal
