nombre_departamento;nombre_municipio;periodo;anio_inicio;anio_fin;total_concejales;partido;curules;partido_normalizado
ATLÁNTICO;BARRANQUILLA;2024-2027;2024;2027;21;CR;7;Cambio Radical
ATLÁNTICO;BARRANQUILLA;2024-2027;2024;2027;21;PC;5;Partido Conservador
ATLÁNTICO;BARRANQUILLA;2024-2027;2024;2027;21;PL;3;Partido Liberal
ATLÁNTICO;BARRANQUILLA;2024-2027;2024;2027;21;CD;2;Centro Democrático
ATLÁNTICO;BARRANQUILLA;2024-2027;2024;2027;21;PDA;2;Polo Democrático Alternativo
ATLÁNTICO;BARRANQUILLA;2024-2027;2024;2027;21;U;1;Partido de la U
ATLÁNTICO;BARRANQUILLA;2024-2027;2024;2027;21;AICO / Coalición S.O.S.;1;Otros / coaliciones / movimientos regionales
BOLÍVAR;CARTAGENA DE INDIAS;2024-2027;2024;2027;19;ASI;4;ASI (Alianza Social Independiente)
BOLÍVAR;CARTAGENA DE INDIAS;2024-2027;2024;2027;19;CR;3;Cambio Radical
BOLÍVAR;CARTAGENA DE INDIAS;2024-2027;2024;2027;19;PC;3;Partido Conservador
BOLÍVAR;CARTAGENA DE INDIAS;2024-2027;2024;2027;19;AV;2;Alianza Verde
BOLÍVAR;CARTAGENA DE INDIAS;2024-2027;2024;2027;19;PL;2;Partido Liberal
BOLÍVAR;CARTAGENA DE INDIAS;2024-2027;2024;2027;19;CD;1;Centro Democrático
BOLÍVAR;CARTAGENA DE INDIAS;2024-2027;2024;2027;19;U;1;Partido de la U
BOLÍVAR;CARTAGENA DE INDIAS;2024-2027;2024;2027;19;Cartagena Mejor para Todos;1;Otros / coaliciones / movimientos regionales
BOLÍVAR;CARTAGENA DE INDIAS;2024-2027;2024;2027;19;NL-EM;1;Otros / coaliciones / movimientos regionales
BOLÍVAR;CARTAGENA DE INDIAS;2024-2027;2024;2027;19;MAIS;1;MAIS
CESAR;VALLEDUPAR;2024-2027;2024;2027;19;U;3;Partido de la U
CESAR;VALLEDUPAR;2024-2027;2024;2027;19;PL;3;Partido Liberal
CESAR;VALLEDUPAR;2024-2027;2024;2027;19;PC;3;Partido Conservador
CESAR;VALLEDUPAR;2024-2027;2024;2027;19;MAIS;2;MAIS
CESAR;VALLEDUPAR;2024-2027;2024;2027;19;CR;2;Cambio Radical
CESAR;VALLEDUPAR;2024-2027;2024;2027;19;AV;1;Alianza Verde
CESAR;VALLEDUPAR;2024-2027;2024;2027;19;CD;1;Centro Democrático
CESAR;VALLEDUPAR;2024-2027;2024;2027;19;Movimiento Independientes;1;Otros / coaliciones / movimientos regionales
CESAR;VALLEDUPAR;2024-2027;2024;2027;19;ASI;1;ASI (Alianza Social Independiente)
CESAR;VALLEDUPAR;2024-2027;2024;2027;19;EM;1;Otros / coaliciones / movimientos regionales
CESAR;VALLEDUPAR;2024-2027;2024;2027;19;COLR;1;Otros / coaliciones / movimientos regionales
CÓRDOBA;MONTERÍA;2024-2027;2024;2027;19;PL;4;Partido Liberal
CÓRDOBA;MONTERÍA;2024-2027;2024;2027;19;PC;3;Partido Conservador
CÓRDOBA;MONTERÍA;2024-2027;2024;2027;19;NL;3;Otros / coaliciones / movimientos regionales
CÓRDOBA;MONTERÍA;2024-2027;2024;2027;19;CR;2;Cambio Radical
CÓRDOBA;MONTERÍA;2024-2027;2024;2027;19;ASI;2;ASI (Alianza Social Independiente)
CÓRDOBA;MONTERÍA;2024-2027;2024;2027;19;COLR;2;Otros / coaliciones / movimientos regionales
CÓRDOBA;MONTERÍA;2024-2027;2024;2027;19;MAIS;1;MAIS
CÓRDOBA;MONTERÍA;2024-2027;2024;2027;19;Nueva Fuerza Democrática;1;Otros / coaliciones / movimientos regionales
CÓRDOBA;MONTERÍA;2024-2027;2024;2027;19;CD;1;Centro Democrático
LA GUAJIRA;RIOHACHA;2024-2027;2024;2027;17;No verificado;4;Otros / coaliciones / movimientos regionales
LA GUAJIRA;RIOHACHA;2024-2027;2024;2027;17;PC;1;Partido Conservador
LA GUAJIRA;RIOHACHA;2024-2027;2024;2027;17;CR-COLR;1;Otros / coaliciones / movimientos regionales
LA GUAJIRA;RIOHACHA;2024-2027;2024;2027;17;PL;1;Partido Liberal
LA GUAJIRA;RIOHACHA;2024-2027;2024;2027;17;MAIS-MIRA;1;Otros / coaliciones / movimientos regionales
LA GUAJIRA;RIOHACHA;2024-2027;2024;2027;17;CD;1;Centro Democrático
LA GUAJIRA;RIOHACHA;2024-2027;2024;2027;17;U;1;Partido de la U
LA GUAJIRA;RIOHACHA;2024-2027;2024;2027;17;ASI;1;ASI (Alianza Social Independiente)
LA GUAJIRA;RIOHACHA;2024-2027;2024;2027;17;NL;1;Otros / coaliciones / movimientos regionales
LA GUAJIRA;RIOHACHA;2024-2027;2024;2027;17;DEM;1;Otros / coaliciones / movimientos regionales
LA GUAJIRA;RIOHACHA;2024-2027;2024;2027;17;Partido Verde Oxígeno;1;Otros / coaliciones / movimientos regionales
LA GUAJIRA;RIOHACHA;2024-2027;2024;2027;17;PDA;1;Polo Democrático Alternativo
LA GUAJIRA;RIOHACHA;2024-2027;2024;2027;17;AV;1;Alianza Verde
LA GUAJIRA;RIOHACHA;2024-2027;2024;2027;17;FC;1;Otros / coaliciones / movimientos regionales
MAGDALENA;SANTA MARTA;2024-2027;2024;2027;19;FC;3;Otros / coaliciones / movimientos regionales
MAGDALENA;SANTA MARTA;2024-2027;2024;2027;19;Santa Marta Gana;2;Otros / coaliciones / movimientos regionales
MAGDALENA;SANTA MARTA;2024-2027;2024;2027;19;PL;2;Partido Liberal
MAGDALENA;SANTA MARTA;2024-2027;2024;2027;19;ADA;2;Otros / coaliciones / movimientos regionales
MAGDALENA;SANTA MARTA;2024-2027;2024;2027;19;Movimiento Creemos;1;Otros / coaliciones / movimientos regionales
MAGDALENA;SANTA MARTA;2024-2027;2024;2027;19;CR;1;Cambio Radical
MAGDALENA;SANTA MARTA;2024-2027;2024;2027;19;AV;1;Alianza Verde
MAGDALENA;SANTA MARTA;2024-2027;2024;2027;19;CD;1;Centro Democrático
MAGDALENA;SANTA MARTA;2024-2027;2024;2027;19;Coalición ADN;1;Otros / coaliciones / movimientos regionales
MAGDALENA;SANTA MARTA;2024-2027;2024;2027;19;U;1;Partido de la U
MAGDALENA;SANTA MARTA;2024-2027;2024;2027;19;PC;1;Partido Conservador
MAGDALENA;SANTA MARTA;2024-2027;2024;2027;19;ASI;1;ASI (Alianza Social Independiente)
MAGDALENA;SANTA MARTA;2024-2027;2024;2027;19;Partido Ecologista Colombiano;1;Otros / coaliciones / movimientos regionales
MAGDALENA;SANTA MARTA;2024-2027;2024;2027;19;Santa Marta Tiene Cura;1;Otros / coaliciones / movimientos regionales
SUCRE;SINCELEJO;2024-2027;2024;2027;17;PL;6;Partido Liberal
SUCRE;SINCELEJO;2024-2027;2024;2027;17;PC;4;Partido Conservador
SUCRE;SINCELEJO;2024-2027;2024;2027;17;EM;2;Otros / coaliciones / movimientos regionales
SUCRE;SINCELEJO;2024-2027;2024;2027;17;CR;1;Cambio Radical
SUCRE;SINCELEJO;2024-2027;2024;2027;17;NL;1;Otros / coaliciones / movimientos regionales
SUCRE;SINCELEJO;2024-2027;2024;2027;17;CD;1;Centro Democrático
SUCRE;SINCELEJO;2024-2027;2024;2027;17;MAIS;1;MAIS
SUCRE;SINCELEJO;2024-2027;2024;2027;17;U;1;Partido de la U
