nombre_departamento;orden;vigente;etiqueta_tab;anio_inicio;anio_fin;nombre_gobernador;partido;periodo;notas
ATLÁNTICO;0;False;Período 2020-2023;2020;2023;Elsa Margarita Noguera de la Espriella;Cambio Radical;2020-2023;"Elegida el 27-oct-2019 con el 66.67% de los votos -- la votación más alta entre los 8 departamentos --, respaldada por la coalición ""La Clave es la Gente"" (Cambio Radical, Partido Conservador, Partido Liberal y Centro Democrático). Posesionada el 1-ene-2020. Primera gobernadora del Atlántico elegida por voto popular. Completó el periodo completo 2020-2023. En 2026 fue nombrada ministra de Transporte."
ATLÁNTICO;1;True;Actual;2024;2027;Eduardo Verano de la Rosa;Partido Liberal Colombiano;2024-2027;Elegido en primera vuelta el 29-oct-2023. Posesionado el 1-ene-2024. Sin procesos de nulidad electoral en curso que afecten su continuidad.
BOLÍVAR;0;False;Período 2020-2023;2020;2023;Vicente Antonio Blel Scaff;Coalición (Partido Conservador, Partido Liberal, ASI, Partido de la U, Centro Democrático);2020-2023;Elegido el 27-oct-2019 con el 46.78% de los votos. Posesionado el 1-ene-2020. Completó el periodo completo 2020-2023. Miembro del clan político Blel, señalado reiteradamente en prensa por vínculos con la parapolítica (su padre, también Vicente Blel, fue senador condenado por parapolítica).
BOLÍVAR;1;True;Actual;2024;2027;Yamil Hernando Arana Padauí;Partido Conservador Colombiano;2024-2027;Elegido el 29-oct-2023 respaldado por coalición (Conservador como partido que avaló la inscripción). Posesionado el 1-ene-2024.
CESAR;0;False;Período 2020-2023;2020;2021;Luis Alberto Monsalvo Gnecco;Cambio Radical;2020-2021 (no completó el periodo);"Elegido el 27-oct-2019 con el 56.65% de los votos, miembro del llamado ""clan Gnecco"". En ago-2021 le fue impuesta una medida de aseguramiento por corrupción en el Programa de Alimentación Escolar (PAE) y fue separado del cargo; el presidente Iván Duque designó a Andrés Meza Araújo como gobernador encargado para el resto del periodo (hasta dic-2023, no incluido acá por no ser un cargo de elección popular). Monsalvo fue condenado por la Corte Suprema de Justicia el 14-feb-2024."
CESAR;1;True;Actual;2024;2027;Elvia Milena Sanjuán Dávila;Partido de la U (Partido Social de Unidad Nacional);2024-2027;"Primera mujer elegida gobernadora del Cesar. Enfrentó una demanda de nulidad electoral ante el Consejo de Estado; el proceso no prosperó y su elección fue confirmada (feb-2025). Continúa en el cargo."
CÓRDOBA;0;False;Período 2020-2023;2020;2023;Orlando David Benítez Mora;Partido Liberal Colombiano;2020-2023;Elegido el 27-oct-2019 con el 54.60% de los votos. Posesionado el 1-ene-2020. La Procuraduría solicitó la nulidad de su elección ante el Consejo de Estado, pero fue negada. Completó el periodo completo 2020-2023.
CÓRDOBA;1;True;Actual;2024;2027;Erasmo Elías Zuleta Bechara;Partido de la U (Partido Social de Unidad Nacional);2024-2027;"Elegido el 29-oct-2023. Su elección fue objeto de demanda de nulidad ante el Consejo de Estado; fue confirmada (sept-2024). Continúa en el cargo."
LA GUAJIRA;0;False;Período 2020-2023;2020;2022;Nemesio Raúl Roys Garzón;"Partido Conservador Colombiano (coalición ""Un Cambio por La Guajira"")";2020 a jul-2022 (no completó el periodo);"Elegido el 27-oct-2019 con el 46.52% de los votos. Su elección fue cuestionada por doble militancia; el Consejo de Estado la anuló en jul-2021, una tutela lo devolvió al cargo, pero la Corte Constitucional confirmó en firme su destitución el 21-jul-2022. Fue reemplazado por gobernadores encargados (José Vega Vence y probablemente otros, no incluidos acá por no ser cargos de elección popular) hasta el fin del periodo en dic-2023 -- La Guajira tiene un historial de alta inestabilidad institucional (hasta 16 gobernadores en 12 años)."
LA GUAJIRA;1;True;Actual;2024;2027;Jairo Alfonso Aguilar Deluque;Partido de la U (Partido Social de Unidad Nacional);2024-2027;Elegido el 29-oct-2023. Enfrentó una solicitud de suspensión provisional del acto de elección, negada por el Consejo de Estado (feb-2024). Continúa en el cargo.
MAGDALENA;0;False;Período 2020-2023;2020;2023;Carlos Eduardo Caicedo Omar;Fuerza Ciudadana;2020 a 13-oct-2023 (no completó el periodo);"Elegido el 27-oct-2019 con el 58.78% de los votos. Posesionado el 1-ene-2020. Renunció al cargo el 13-oct-2023, cerca de dos meses antes de terminar su mandato; el presidente Gustavo Petro designó a Denis Rangel Lozano como gobernadora encargada para completar el resto del periodo (no incluida acá por no ser un cargo de elección popular). Es el mismo movimiento (Fuerza Ciudadana) del que salió, años después, María Margarita Guerra Zúñiga."
MAGDALENA;1;False;Electo originalmente;2024;2025;Rafael Alejandro Martínez Pacheco;Fuerza Ciudadana;ene-2024 a jul-2025 (destituido);Electo originalmente el 29-oct-2023 con el 50.65% de los votos. Posesionado el 1-ene-2024. El Consejo de Estado anuló su elección por doble militancia (nulidad decretada en may-2025, confirmada en firme al rechazar su último recurso en jul-2025).
MAGDALENA;2;True;Actual;2025;2027;María Margarita Guerra Zúñiga;Fuerza Ciudadana;26-nov-2025 a 31-dic-2027 (elección atípica);"Corrección: el nombre figuraba antes erróneamente como ""María Margarita Guerra de la Espriella"" -- su apellido correcto es Guerra Zúñiga (""de la Espriella"" corresponde a otra persona, sin relación con ella). Tras la destitución del gobernador electo originalmente (Rafael Alejandro Martínez Pacheco), y mientras se convocaba la elección atípica, el Gobierno Nacional encargó a Ingrid Padilla como gobernadora encargada. Guerra ganó la elección atípica del 23-nov-2025 y se posesionó el 26-nov-2025 en el Tribunal Administrativo del Magdalena, para completar el resto del periodo constitucional 2024-2027."
SUCRE;0;False;Período 2020-2023;2020;2023;Héctor Olimpo Espinosa Oliver;Partido Liberal Colombiano;2020-2023;Elegido el 27-oct-2019 con el 48.51% de los votos, tras vencer a Yahir Acuña (hoy alcalde de Sincelejo). Posesionado el 1-ene-2020. Completó el periodo completo 2020-2023, pese a un conflicto público con Cambio Radical por el nombramiento del alcalde encargado de Sincelejo en 2023 (litigio que perdió por vía de tutela).
SUCRE;1;True;Actual;2024;2027;Lucy Inés García Montes;Partido Liberal Colombiano;2024-2027;"Elegida el 29-oct-2023. Posesionada el 1-ene-2024. Se reportaron cuestionamientos y/o demandas contra su elección en medios locales, pero no se encontró evidencia verificada de una decisión judicial en firme que la haya apartado del cargo; continúa en funciones a sept-2026. Se recomienda una verificación adicional si se requiere certeza jurídica plena sobre el estado de dichos procesos."
