nombre_entidad;anio;indice_competitividad
ARAUCA;2019;3.5212705820616943
ARAUCA;2020;3.363290355805137
ARAUCA;2021;3.3981364071479243
ARAUCA;2022;3.7020775575530647
ARAUCA;2023;3.847456722899211
ARAUCA;2024;3.704730709260762
ARAUCA;2025;3.924352935997449
ARMENIA;2019;4.96947499405458
ARMENIA;2020;5.0553923788235435
ARMENIA;2021;5.02692887931611
ARMENIA;2022;5.168979841968913
ARMENIA;2023;5.47558655976567
ARMENIA;2024;5.44209563826514
ARMENIA;2025;5.5806013768584055
BARRANQUILLA;2019;5.492083508720165
BARRANQUILLA;2020;5.475587083822018
BARRANQUILLA;2021;5.355095084849573
BARRANQUILLA;2022;5.572979137612016
BARRANQUILLA;2023;5.692870157764655
BARRANQUILLA;2024;5.725632426497583
BARRANQUILLA;2025;5.820640974614053
BOGOTÁ D.C.;2019;6.987734186672553
BOGOTÁ D.C.;2020;6.904875447839859
BOGOTÁ D.C.;2021;6.785519583403263
BOGOTÁ D.C.;2022;7.093073163191511
BOGOTÁ D.C.;2023;7.238723055721814
BOGOTÁ D.C.;2024;7.32599522496936
BOGOTÁ D.C.;2025;7.467651547360999
BUCARAMANGA AM;2019;5.678701891170559
BUCARAMANGA AM;2020;5.701303378471798
BUCARAMANGA AM;2021;5.620290400086358
BUCARAMANGA AM;2022;5.8220028441834435
BUCARAMANGA AM;2023;6.092089692033299
BUCARAMANGA AM;2024;6.018599308836956
BUCARAMANGA AM;2025;6.076232446137418
CALI AM;2019;5.741082087424814
CALI AM;2020;5.776940593420045
CALI AM;2021;5.71027966065694
CALI AM;2022;5.937620610501004
CALI AM;2023;5.979668553515978
CALI AM;2024;6.021467305900051
CALI AM;2025;6.178858687813537
CARTAGENA DE INDIAS;2019;5.137127362117802
CARTAGENA DE INDIAS;2020;5.062788779168807
CARTAGENA DE INDIAS;2021;5.075312989019829
CARTAGENA DE INDIAS;2022;5.149846046459066
CARTAGENA DE INDIAS;2023;5.4236593023266435
CARTAGENA DE INDIAS;2024;5.528817678580831
CARTAGENA DE INDIAS;2025;5.579871204065538
CÚCUTA AM;2019;4.579879074067123
CÚCUTA AM;2020;4.510532708982632
CÚCUTA AM;2021;4.426442007107131
CÚCUTA AM;2022;4.4862566976564064
CÚCUTA AM;2023;4.778538543649901
CÚCUTA AM;2024;4.862009816291298
CÚCUTA AM;2025;5.016309275004139
FLORENCIA;2019;4.235926567175231
FLORENCIA;2020;4.070849348400446
FLORENCIA;2021;4.112935848116864
FLORENCIA;2022;3.897277800704119
FLORENCIA;2023;3.9498567701225715
FLORENCIA;2024;4.193456467516196
FLORENCIA;2025;4.394502065150789
IBAGUÉ;2019;5.065613224472639
IBAGUÉ;2020;5.035826893514185
IBAGUÉ;2021;5.162601333071777
IBAGUÉ;2022;5.237148401932615
IBAGUÉ;2023;5.250582223650479
IBAGUÉ;2024;5.287690618184198
IBAGUÉ;2025;5.660078556385745
INÍRIDA;2019;2.6352433964906297
INÍRIDA;2020;2.394735838275863
INÍRIDA;2021;2.851670368383651
INÍRIDA;2022;2.631208247855674
INÍRIDA;2023;2.6045054175825335
INÍRIDA;2024;2.9914480800445546
INÍRIDA;2025;2.867693487928819
LETICIA;2019;3.412944859836487
LETICIA;2020;3.3485895390664755
LETICIA;2021;3.183427545088013
LETICIA;2022;3.200012952627694
LETICIA;2023;3.2361568651670765
LETICIA;2024;3.03227140521301
LETICIA;2025;3.476299653597093
MANIZALES AM;2019;5.628770611226479
MANIZALES AM;2020;5.599206325443977
MANIZALES AM;2021;5.600456223288265
MANIZALES AM;2022;5.6721213585360895
MANIZALES AM;2023;6.008121182947233
MANIZALES AM;2024;6.019000563494781
MANIZALES AM;2025;6.076812420203619
MEDELLÍN AM;2019;6.254581193732105
MEDELLÍN AM;2020;6.280968435252583
MEDELLÍN AM;2021;6.1760123523845225
MEDELLÍN AM;2022;6.357142484149056
MEDELLÍN AM;2023;6.657130543091316
MEDELLÍN AM;2024;6.628125031639129
MEDELLÍN AM;2025;6.672996247167168
MITÚ;2019;2.5839325718229214
MITÚ;2020;3.0020254249843212
MITÚ;2021;2.3952765706220287
MITÚ;2022;2.363073799507684
MITÚ;2023;2.887656535835703
MITÚ;2024;2.5338541247307744
MITÚ;2025;3.1347657939192572
MOCOA;2019;3.985264727834354
MOCOA;2020;4.0047604481803845
MOCOA;2021;3.746581683015272
MOCOA;2022;3.7080232783187133
MOCOA;2023;3.9223728710083137
MOCOA;2024;3.7292858331375833
MOCOA;2025;3.8588506955039508
MONTERÍA;2019;4.326648107931016
MONTERÍA;2020;4.323165968015906
MONTERÍA;2021;4.218218626969325
MONTERÍA;2022;4.484098473511018
MONTERÍA;2023;4.615711154659957
MONTERÍA;2024;4.673027895750676
MONTERÍA;2025;4.918324810631108
NEIVA;2019;4.774298996499807
NEIVA;2020;4.886615410944216
NEIVA;2021;4.818452203362557
NEIVA;2022;4.919930943444345
NEIVA;2023;5.146381357104447
NEIVA;2024;5.172291889741453
NEIVA;2025;5.319375807205193
PASTO;2019;4.918553250170924
PASTO;2020;4.892480972673583
PASTO;2021;4.899527116046064
PASTO;2022;5.136103169019912
PASTO;2023;5.252248258943388
PASTO;2024;5.218865016566455
PASTO;2025;5.311351277508416
PEREIRA AM;2019;5.607690808698606
PEREIRA AM;2020;5.721643600356179
PEREIRA AM;2021;5.601281001097855
PEREIRA AM;2022;5.8202538081171875
PEREIRA AM;2023;5.9755169410706666
PEREIRA AM;2024;5.948550346750948
PEREIRA AM;2025;5.990392383556044
POPAYÁN;2019;5.201157739842844
POPAYÁN;2020;5.284116246701665
POPAYÁN;2021;5.102721685688581
POPAYÁN;2022;5.440692894121668
POPAYÁN;2023;5.628113367983316
POPAYÁN;2024;5.608909083658875
POPAYÁN;2025;5.688679336251687
PUERTO CARREÑO;2019;2.6967181299782044
PUERTO CARREÑO;2020;2.6600899452062086
PUERTO CARREÑO;2021;2.746122945265879
PUERTO CARREÑO;2022;2.8336057281597626
PUERTO CARREÑO;2023;3.163476262361335
PUERTO CARREÑO;2024;3.0687145284928863
PUERTO CARREÑO;2025;3.110124907303672
QUIBDÓ;2019;3.806894545280614
QUIBDÓ;2020;3.659804989914664
QUIBDÓ;2021;3.6653000286574833
QUIBDÓ;2022;3.618162280228241
QUIBDÓ;2023;4.057400204985035
QUIBDÓ;2024;3.9673071778407683
QUIBDÓ;2025;4.0128034331481945
RIOHACHA;2019;3.853028203543717
RIOHACHA;2020;3.8788610372488734
RIOHACHA;2021;3.67547440851711
RIOHACHA;2022;3.8624137113221755
RIOHACHA;2023;3.9269184820582836
RIOHACHA;2024;4.15835661467059
RIOHACHA;2025;4.2277462648742326
SAN ANDRÉS;2019;4.951243390943061
SAN ANDRÉS;2020;4.847006150648398
SAN ANDRÉS;2021;4.709127548460249
SAN ANDRÉS;2022;4.290389558549533
SAN ANDRÉS;2023;4.529976641076266
SAN ANDRÉS;2024;4.72768981528681
SAN ANDRÉS;2025;4.843481943073812
SAN JOSÉ DEL GUAVIARE;2019;3.479765406752672
SAN JOSÉ DEL GUAVIARE;2020;3.3787523253740575
SAN JOSÉ DEL GUAVIARE;2021;3.4337255849139225
SAN JOSÉ DEL GUAVIARE;2022;3.232223710540605
SAN JOSÉ DEL GUAVIARE;2023;3.5585153622878556
SAN JOSÉ DEL GUAVIARE;2024;3.415816674136239
SAN JOSÉ DEL GUAVIARE;2025;3.5670207152972013
SANTA MARTA;2019;4.661237675845225
SANTA MARTA;2020;4.688918286784224
SANTA MARTA;2021;4.651514383932908
SANTA MARTA;2022;4.759986288156818
SANTA MARTA;2023;5.000389242124033
SANTA MARTA;2024;4.950305891122469
SANTA MARTA;2025;5.199262021060055
SINCELEJO;2019;4.203586812559558
SINCELEJO;2020;4.241208637334405
SINCELEJO;2021;4.136834307995498
SINCELEJO;2022;4.21413036918865
SINCELEJO;2023;4.315949309590829
SINCELEJO;2024;4.31165520632739
SINCELEJO;2025;4.360483597924235
TUNJA;2019;5.776601524314029
TUNJA;2020;5.839617190123008
TUNJA;2021;5.610092725174791
TUNJA;2022;5.956588407970205
TUNJA;2023;6.212282197874584
TUNJA;2024;6.0844734996019785
TUNJA;2025;6.243809367313771
VALLEDUPAR;2019;4.3166533932400615
VALLEDUPAR;2020;4.2985881889093855
VALLEDUPAR;2021;4.1682874171986555
VALLEDUPAR;2022;4.000731807603351
VALLEDUPAR;2023;4.375028109615583
VALLEDUPAR;2024;4.5297204615998945
VALLEDUPAR;2025;4.643298910832056
