nombre_entidad;anio;indice_competitividad
AMAZONAS;2019;3.2887303481003367
ANTIOQUIA;2019;6.255990891473283
ARAUCA;2019;3.4024332770859167
ATLÁNTICO;2019;5.901930115721658
BOGOTÁ, D.C.;2019;7.497790764842158
BOLÍVAR;2019;5.0773267457067375
BOYACÁ;2019;5.230040647742836
CALDAS;2019;5.800080409818426
CAQUETÁ;2019;3.642667518027116
CASANARE;2019;4.493361074341852
CAUCA;2019;4.458531287309238
CESAR;2019;4.483193564844455
CHOCÓ;2019;3.4384940552775474
CÓRDOBA;2019;4.357934633715889
CUNDINAMARCA;2019;5.740601105311844
GUAINÍA;2019;2.4613471466903283
GUAVIARE;2019;3.3424745041972277
HUILA;2019;4.764126474119761
LA GUAJIRA;2019;3.8820029070561497
MAGDALENA;2019;4.607094317758226
META;2019;4.605832913935543
NARIÑO;2019;4.446211577622376
NORTE DE SANTANDER;2019;4.79719944688296
PUTUMAYO;2019;3.92253932912456
QUINDÍO;2019;5.264725110071544
RISARALDA;2019;5.792575838151821
ARCHIPIÉLAGO DE SAN ANDRÉS;2019;4.4148607427699345
SANTANDER;2019;5.854191030097953
SUCRE;2019;4.11115300730461
TOLIMA;2019;4.931919976926097
VALLE DEL CAUCA;2019;5.866020849242793
VAUPÉS;2019;2.3991575867353614
VICHADA;2019;2.2085944491365734
AMAZONAS;2020;3.261220633618574
ANTIOQUIA;2020;6.323770051913425
ARAUCA;2020;3.5687675708652393
ATLÁNTICO;2020;5.864151456736931
BOGOTÁ, D.C.;2020;7.5147946684123745
BOLÍVAR;2020;5.1530009183758505
BOYACÁ;2020;5.3698315382959585
CALDAS;2020;5.767730878954591
CAQUETÁ;2020;4.1136582254895995
CASANARE;2020;4.459666400699392
CAUCA;2020;4.466348609471552
CESAR;2020;4.457507161059001
CHOCÓ;2020;3.4439579440513057
CÓRDOBA;2020;4.233649432592621
CUNDINAMARCA;2020;5.713947569235107
GUAINÍA;2020;2.5165772640615596
GUAVIARE;2020;3.5867565609938916
HUILA;2020;4.889805352988347
LA GUAJIRA;2020;3.818372289516666
MAGDALENA;2020;4.698339056268448
META;2020;4.649779451104702
NARIÑO;2020;4.6324659520331135
NORTE DE SANTANDER;2020;4.855798983809335
PUTUMAYO;2020;3.849570134524888
QUINDÍO;2020;5.342075276084701
RISARALDA;2020;5.949966994444733
ARCHIPIÉLAGO DE SAN ANDRÉS;2020;5.121049027229039
SANTANDER;2020;5.816172195352203
SUCRE;2020;4.2027701583751025
TOLIMA;2020;5.053987823609155
VALLE DEL CAUCA;2020;5.966564415951876
VAUPÉS;2020;2.833418502617885
VICHADA;2020;2.373239803478861
AMAZONAS;2021;3.184785483567174
ANTIOQUIA;2021;6.3241031900254585
ARAUCA;2021;3.584701957471429
ATLÁNTICO;2021;5.795443510208498
BOGOTÁ, D.C.;2021;7.479502071712798
BOLÍVAR;2021;5.044114088725324
BOYACÁ;2021;5.285182362823194
CALDAS;2021;5.746846959989811
CAQUETÁ;2021;4.121857536056583
CASANARE;2021;4.3830242595468185
CAUCA;2021;4.494536200692683
CESAR;2021;4.405547860301643
CHOCÓ;2021;3.4694214899181612
CÓRDOBA;2021;4.249520364263447
CUNDINAMARCA;2021;5.822441087061907
GUAINÍA;2021;2.9890079710330655
GUAVIARE;2021;3.6597918432558774
HUILA;2021;4.968384920355026
LA GUAJIRA;2021;3.7681469234895126
MAGDALENA;2021;4.623941600681522
META;2021;4.456773248656979
NARIÑO;2021;4.631369909306008
NORTE DE SANTANDER;2021;4.858283010759437
PUTUMAYO;2021;3.687856949564277
QUINDÍO;2021;5.3639405739849755
RISARALDA;2021;6.086084537491679
ARCHIPIÉLAGO DE SAN ANDRÉS;2021;4.88490329360943
SANTANDER;2021;5.8524197337976505
SUCRE;2021;4.130223353284315
TOLIMA;2021;5.05916025278856
VALLE DEL CAUCA;2021;5.885108101133595
VAUPÉS;2021;2.354809404213528
VICHADA;2021;2.213858001090698
AMAZONAS;2022;3.1638361967052364
ANTIOQUIA;2022;6.405734676456943
ARAUCA;2022;3.9599854120277445
ATLÁNTICO;2022;5.804521351741854
BOGOTÁ, D.C.;2022;7.621610770141323
BOLÍVAR;2022;5.0754835096175475
BOYACÁ;2022;5.302496041907412
CALDAS;2022;5.747547012086508
CAQUETÁ;2022;3.905285812844801
CASANARE;2022;4.419351750731667
CAUCA;2022;4.680394769312956
CESAR;2022;4.198617938312948
CHOCÓ;2022;3.2633109094659005
CÓRDOBA;2022;4.2852873650339705
CUNDINAMARCA;2022;5.7794981182759555
GUAINÍA;2022;2.6897015417377674
GUAVIARE;2022;3.2610877234743336
HUILA;2022;4.882297339683456
LA GUAJIRA;2022;3.827890970210902
MAGDALENA;2022;4.622941956364816
META;2022;4.681212141510528
NARIÑO;2022;4.590904614478767
NORTE DE SANTANDER;2022;4.753819395998713
PUTUMAYO;2022;3.7114858879273576
QUINDÍO;2022;5.483289838226134
RISARALDA;2022;6.1338105239220795
ARCHIPIÉLAGO DE SAN ANDRÉS;2022;4.66768318501795
SANTANDER;2022;5.864721658665511
SUCRE;2022;4.058915615544732
TOLIMA;2022;5.072156483927108
VALLE DEL CAUCA;2022;5.931664663025698
VAUPÉS;2022;2.461647262792807
VICHADA;2022;2.277637819024352
AMAZONAS;2023;3.0792713628938806
ANTIOQUIA;2023;6.587580249574928
ARAUCA;2023;4.203479152482791
ATLÁNTICO;2023;6.0613008106146
BOGOTÁ, D.C.;2023;7.767983149347158
BOLÍVAR;2023;5.250382621388737
BOYACÁ;2023;5.495076183369272
CALDAS;2023;5.879143822433301
CAQUETÁ;2023;3.964753754466469
CASANARE;2023;4.589613508562166
CAUCA;2023;4.785913920500431
CESAR;2023;4.431603038588579
CHOCÓ;2023;3.693602241820514
CÓRDOBA;2023;4.300819009510589
CUNDINAMARCA;2023;5.942043500225445
GUAINÍA;2023;2.8109355047908196
GUAVIARE;2023;3.806361999942687
HUILA;2023;4.962331139468032
LA GUAJIRA;2023;3.912271701016837
MAGDALENA;2023;4.715175283636107
META;2023;4.692627971153328
NARIÑO;2023;4.665952521930621
NORTE DE SANTANDER;2023;4.94511700046084
PUTUMAYO;2023;3.7493343288712504
QUINDÍO;2023;5.674456051883638
RISARALDA;2023;6.248910561223015
ARCHIPIÉLAGO DE SAN ANDRÉS;2023;4.7537911842337675
SANTANDER;2023;6.062816335096121
SUCRE;2023;4.270912887299735
TOLIMA;2023;4.951642994187902
VALLE DEL CAUCA;2023;6.065765719591313
VAUPÉS;2023;3.0478268339648107
VICHADA;2023;2.4961318176539966
AMAZONAS;2024;3.169417088680644
ANTIOQUIA;2024;6.641322950776686
ARAUCA;2024;4.041371016932697
ATLÁNTICO;2024;6.027748295222521
BOGOTÁ, D.C.;2024;7.951596880312254
BOLÍVAR;2024;5.360595473983087
BOYACÁ;2024;5.603580993655502
CALDAS;2024;6.063811441614383
CAQUETÁ;2024;4.285008634151694
CASANARE;2024;4.801375977511183
CAUCA;2024;4.806139342417886
CESAR;2024;4.567264111090542
CHOCÓ;2024;3.5496375244508243
CÓRDOBA;2024;4.423840502621678
CUNDINAMARCA;2024;6.107836131891116
GUAINÍA;2024;3.1001597354398824
GUAVIARE;2024;3.7591125344603022
HUILA;2024;5.11603999409968
LA GUAJIRA;2024;4.098957528343011
MAGDALENA;2024;4.794513050759898
META;2024;4.892107933795869
NARIÑO;2024;4.610744968760992
NORTE DE SANTANDER;2024;5.141254398011932
PUTUMAYO;2024;3.550718954990711
QUINDÍO;2024;5.680439289616758
RISARALDA;2024;6.170914562999541
ARCHIPIÉLAGO DE SAN ANDRÉS;2024;5.061345144064453
SANTANDER;2024;6.102330486670469
SUCRE;2024;4.305744951151821
TOLIMA;2024;5.1882463276152695
VALLE DEL CAUCA;2024;6.189844089450754
VAUPÉS;2024;2.608900137203014
VICHADA;2024;2.5244911469216453
AMAZONAS;2025;3.4259396861354308
ANTIOQUIA;2025;6.803306170867087
ARAUCA;2025;4.249809114230355
ATLÁNTICO;2025;6.094479693389393
BOGOTÁ, D.C.;2025;8.03917396312299
BOLÍVAR;2025;5.452219765085208
BOYACÁ;2025;5.759017569859331
CALDAS;2025;6.038295896656669
CAQUETÁ;2025;4.248987418856005
CASANARE;2025;5.0293776670268056
CAUCA;2025;4.906020854935656
CESAR;2025;4.824012386354307
CHOCÓ;2025;3.6883157395917405
CÓRDOBA;2025;4.562966969950877
CUNDINAMARCA;2025;6.125285042213004
GUAINÍA;2025;2.8850696693334807
GUAVIARE;2025;3.8276037275914594
HUILA;2025;5.216070064911644
LA GUAJIRA;2025;4.21721375366174
MAGDALENA;2025;4.915892942457512
META;2025;5.019831291563244
