nombre_entidad;anio;Instituciones;Infraestructura;Adopción TIC;Sostenibilidad ambiental;Salud;Educación básica y media;Educación superior y capacitación;Entorno para los negocios;Mercado laboral;Sistema financiero;Tamaño del mercado;Sofisticación y diversificación;Innovación
AMAZONAS;2019;4.967860325830616;1.1718468914839886;0.8032033704180624;6.060628139888925;5.683444274179355;3.726378172422955;2.6523406385882984;4.536244021062103;6.627385392688149;1.2423652156589529;0.6526317785982028;0.0;3.476689317622495
ANTIOQUIA;2019;6.168906240976456;6.322709515375128;4.90837646604223;4.532448226330487;7.563339095237511;6.529066646491718;5.528303087889838;7.080271046726768;7.010707118378047;5.163577281769122;7.213044986418547;8.917406905277334;4.714007702646624
ARAUCA;2019;3.938511648231076;4.740275427885628;1.6075567407806028;3.563567708875326;6.832310535075291;6.69231857113143;2.602816108530659;3.6992638815626093;4.691161667192217;0.9911906120825847;4.5649758044825;0.0;0.4038607009895825
ATLÁNTICO;2019;6.114132938185697;5.677123426763783;4.689713292239544;3.313397872804895;8.186057921958664;6.68050818167603;5.179125893773104;6.558065425868054;5.713916183742964;4.091823131354483;6.54154396963296;9.464315166837316;3.5289133947805738
BOGOTÁ, D.C.;2019;7.597148597415417;8.802830107261272;7.3798707690136105;4.79575474735343;8.392542142491152;7.707551746363121;6.4072479022163;8.643350623053788;7.796987956661656;6.777197027717796;7.922774546466566;9.549978652222885;5.178514365535878
BOLÍVAR;2019;5.29302494674158;6.334414416006917;2.8875587129816704;4.555835241721656;6.513969750199504;5.2610854796692905;3.7952631177038625;6.182672799106692;5.482397902059231;1.9437895241263226;6.535841429172981;9.372188661902952;2.308087820703699
BOYACÁ;2019;5.270571649968462;9.873411272183555;4.195454591832747;5.715906355345073;6.968424749054614;8.196480273544632;5.010287229416404;4.385224623364483;6.014238798870283;1.9084372050211065;5.318644540415454;5.2014885072005335;2.427717735054195
CALDAS;2019;5.733386694873497;5.06042710714392;5.139183944355315;5.816979676406454;7.733781617112837;6.491784372236465;5.858925616925593;5.842294806483847;7.121415974242153;2.9753636016955243;5.519258676475049;7.594999866358014;3.2511415685931278
CAQUETÁ;2019;4.531700330584006;4.917300178324119;2.7309395896772126;6.135147650992671;5.784214597917926;5.531255713739014;1.861804651714769;4.708927714316013;5.417968950724953;1.9386350772869334;1.7670403233962995;0.0;1.909065259953153
CASANARE;2019;4.67516669490981;5.0287234686234115;2.6988946788997836;5.1307820961326565;6.592748412103349;6.872289197246245;2.4144508937111264;5.179352916105371;6.865810839613236;1.6888911007599827;5.555305149472853;3.7259173234689236;0.9859237109862751
CAUCA;2019;4.4701570852699986;4.935816120851479;2.8075494284015576;5.973900999989137;6.4845115296316145;5.0651711103760295;3.5179061171337507;3.597129295865369;4.527309142080882;1.186128184670193;5.26934891989661;8.09081795271258;2.1364967947287545
CESAR;2019;4.811433081105092;5.372178372182924;2.8333249032694696;4.858867614464303;6.797584812657105;5.535751731034129;3.1128907423235646;4.933221729448963;5.032464867710377;1.1492577531474322;6.444005790590529;5.541990617110591;1.4981249486801382
CHOCÓ;2019;4.1607893349646625;4.065741314880089;1.4551817398338884;8.493717489139321;3.591296072530659;3.228012316506235;1.146151183355552;3.8199990098631127;4.902047499161122;0.6667446469322481;4.118340217128847;3.3156343736622333;2.673216411797423
CÓRDOBA;2019;4.390910633854965;5.442816588699447;2.132905085545626;6.160260721749968;6.005264907676805;5.851903459257062;3.0629257834887507;4.024550991545347;5.323017988730464;1.2989261306454267;5.082670843397832;6.178391378990189;2.205474294405122
CUNDINAMARCA;2019;6.120772361890791;8.890961890069772;3.660191035971758;5.577500829740902;6.626605009362633;7.316108692493765;3.7682387028476576;6.730594365876129;7.092174441591233;1.6098635105134997;6.6210885450648345;9.38325424877668;2.3785252709518727
GUAINÍA;2019;5.548356525520939;0.037322071362095983;1.9957379861869906;4.767619366037678;5.108099696376721;2.375395191867236;1.2284946773955627;3.2740088641268823;5.138919464664323;0.9454872249654865;0.17497837247934123;0.0;0.0
GUAVIARE;2019;5.1837048472347504;4.809195562735077;2.561322293764566;4.705031068418382;6.515683954982424;4.990616987162957;1.8367977214064892;4.996098567620236;6.482935275295095;1.3825035177221099;0.6952136833287343;0.0;0.005505205267411728
HUILA;2019;4.870041465051568;5.135529492228032;3.345697343196993;5.5738256144074185;7.220352822663059;7.083161335490285;2.915977052826168;4.74021262256667;5.010832316847235;3.2452731881065606;5.113248726650261;4.826293992607133;1.9559974460840661
LA GUAJIRA;2019;3.5418593063703545;5.520917043163652;1.6883979315558926;6.537428080613898;5.217040100859762;4.783077022294098;1.520774045365528;4.378096516461424;4.829808279849944;0.6193242228896679;6.119029042971541;4.385362144341424;2.148239598955861
MAGDALENA;2019;5.4058234007126185;5.673472082498526;2.9076070559647587;4.210484477176249;6.101407439495769;4.84213118356978;3.548150045677574;5.478870354282213;5.141545691760408;1.6845170330732715;5.261658478337915;7.923448345713182;1.9176260969050594
META;2019;5.351547155744273;5.32097199859326;3.3049087145440486;4.582773830686548;6.612207334838175;6.555040332437921;3.328253862921815;5.878295555322097;6.033669943041778;1.9042063261636772;5.5694588866758;3.2168835482907743;2.0440311044224355
NARIÑO;2019;5.012469132620803;5.23205022117716;2.5097658191110157;5.765065086239018;6.511464876022087;6.3601099809979535;3.045579738318544;4.118748429854144;4.94122199085139;1.940800028828732;4.92480287290376;6.28078795037366;1.916245295602739
NORTE DE SANTANDER;2019;4.950686402429538;5.576572708153309;4.042811370470627;3.5886969420939296;6.926323583526423;7.203945923790106;3.5985445151123825;5.100283967313624;4.38437384959181;2.4466271492388847;4.94509751025022;7.28818767406854;2.5057705683758558
PUTUMAYO;2019;4.319039130130815;4.299615012823869;1.5487069545481287;7.749244796195889;6.4299235218722295;4.526449532732223;1.712068086839362;4.325221188786745;6.586663725438651;1.1263119035934572;4.284505618621395;3.4162988416595343;0.28554518341318297
QUINDÍO;2019;6.1514591831015855;4.916242057248356;4.286684749508731;4.263936556533026;8.081357620431765;7.533017772976514;5.1639062990082305;5.793186213179999;5.653881288542176;3.2695804183496833;4.704222704700348;3.791234928895184;3.488834541379191
RISARALDA;2019;6.362668128204501;4.886683016895469;5.791969227146452;4.745134938074561;7.329593811265439;7.064055255230848;5.203637016732582;6.611745702707548;7.019997362277643;3.8742963267399584;5.466453905272795;6.44869465043993;3.66322583300037
ARCHIPIÉLAGO DE SAN ANDRÉS;2019;5.324119626295559;1.5757815746235138;3.1215497188832932;5.355877013532405;7.380901112134731;6.209291994524785;5.260473342472155;6.280937323570255;8.800650080121383;2.722084895248554;1.1464787243577788;0.0;1.0847661697912088
SANTANDER;2019;5.434118865694035;5.610675048225929;5.066704451815882;6.0545358478854;7.61648772166812;7.813512936688969;5.714187908926051;6.290013600868223;6.24879463665337;2.9624045766577654;5.9862028686160285;7.6822121862077175;3.521708968633871
SUCRE;2019;5.05007704808338;4.902010381861982;2.128457283811376;4.5001184299268715;6.728275890666837;5.861868508114525;2.2018592209194217;4.604901341900382;4.8621092302455775;1.1816098321000197;5.152650900762776;3.575753721115453;2.4489913143031345
TOLIMA;2019;4.881210785800936;5.378711125902416;4.455898034097966;4.996946274141342;6.81420754419383;6.905488341563392;3.7522183410780086;4.774170756555632;5.453194009518755;2.7422673915229567;5.049142075228696;6.265431413934727;2.206111833529133
VALLE DEL CAUCA;2019;6.052938804622202;5.964973029576342;4.65712077532974;4.45056233932582;7.665617553641803;5.64759297694835;4.463767469865349;7.056866256627678;6.30012994689401;3.8783564011705955;6.705758349596658;9.615855318749755;3.507216863763839
VAUPÉS;2019;5.6364821668381895;0.10157874896775532;0.3023236112538712;4.984612221338807;5.003604561067538;1.6302605809461357;0.9907579530266812;2.2066356291558447;6.981076768604561;0.5909640481405841;1.4304753568686777;0.0;0.04565363373714989
VICHADA;2019;4.1843597551518865;0.020967126678334704;0.7784702873424693;4.7977332203868635;2.5445970720554008;2.0833941223246297;1.545559040750595;3.8902188676692804;5.217009491598285;0.5338061243707487;0.5501709100791394;0.0;0.5734694739495629
AMAZONAS;2020;4.741104655440437;1.1979800480507756;0.8243783127841184;5.691042635572882;5.511837747496554;3.71138508784727;2.474525379198664;4.683415277326358;6.21603896978601;1.316355940087253;0.696470762142095;0.0;4.024393495423791
ANTIOQUIA;2020;6.039573623757172;6.149992310524334;4.9569959025982255;5.07525870926073;7.475121087332922;6.535722452125665;5.488693038220061;7.1645954422525815;6.887253617739822;4.911243334511873;7.311408047429612;9.2291222986346;4.966413731059711
ARAUCA;2020;3.998108118674899;4.631611431260261;1.6472866226348295;3.563567708875326;6.33435836087456;6.692483604130102;2.750190016225122;3.8207084937402818;4.398072868952692;1.063942442689372;4.354423976311006;2.674266236295998;0.4252071740461959
ATLÁNTICO;2020;6.25071497406129;5.498990712083715;4.722792173672586;3.7568615947117308;7.716491668748121;6.713561098738436;5.164539128188018;6.529795514745274;5.746663785518086;4.030800070017806;6.583367602719186;9.376877371680468;3.7151678209577432
BOGOTÁ, D.C.;2020;7.667598267822583;8.666022191687915;7.430034920235849;5.220748914862568;8.157785114428776;7.804767353734233;6.5110773752866;8.671209264014356;7.5045070510175975;6.505515042755622;8.042523950403627;9.492091871675209;5.446658066850432
BOLÍVAR;2020;5.392696557439415;6.2391913172499835;2.92327524120104;5.132474171654;6.653874244709629;5.331637149182634;3.6134092543431957;6.184911465479727;5.7329421467225075;1.9147584869888667;6.598271461014621;9.32746437977688;2.3977054823534667
BOYACÁ;2020;5.141383921531198;9.658779589531157;4.209057393018351;6.404140277111928;6.804247894094493;8.25220772272546;5.0695127720139075;4.5237802998336205;5.797103684996532;2.09316839390439;5.42020466356451;6.237343091337106;2.5814522447614525
CALDAS;2020;5.77677434816276;4.858696186220958;5.144974385146383;5.123107680139248;7.4903958973517835;6.602336329601332;5.909911183551523;5.912402701478361;6.9930395421188685;3.028270913373181;5.558099353912944;7.826633131001301;3.721148044505447
CAQUETÁ;2020;4.816325119969138;4.747243703346244;2.7830475850506433;5.346011637305761;6.333244394093688;5.510840609915119;2.2196948891187653;4.584967572094399;5.39645823234248;2.0622986279478837;3.3048635672061684;4.175033310652731;1.9391951860880101
CASANARE;2020;4.920894465621215;5.028739371533915;2.7495185910858204;5.017826189763577;6.246731958646095;6.936766355689597;2.4761595707399686;5.2725717205511735;7.114307610044236;1.810518824404363;5.632648498547756;2.8915217538470097;0.9850248127551744
