codigo_dane,nombre_entidad,anio,poblacion_urbana,poblacion_rural,poblacion_total,pib,valor_agregado_bruto,deuda_publica,ingresos totales,ingresos corrientes,ingresos tributarios,ingresos no tributarios,gastos totales,gastos corrientes,gastos de funcionamiento,desahorro/ahorro corriente,ingresos de capital,regalías,gastos de capital,déficit o superávit total,icm,pcc,gpi,eis,cti,seg,sos,longitud,latitud
05,ANTIOQUIA,2018,4972962.0,1434187.0,6407149.0,141680080332055.6,128910366015430.92,1519497000000.0,4486726000000.0,2313453000000.0,1185937000000.0,1078473000000.0,4320537000000.0,1095311000000.0,1002493000000.0,1218142000000.0,2173273000000.0,134013000000.0,3225227000000.0,166189000000.0,51.81111936945238,56.59550476074219,48.81879806518555,69.85157012939453,50.27125930786133,29.1318531036377,56.19773101806641,-75504557037.0,6702032125
05,ANTIOQUIA,2019,5075565.0,1442505.0,6518070.0,153559448938578.34,139465216954689.67,1591079000000.0,4717669000000.0,2599517000000.0,1353795000000.0,1234268000000.0,4963513000000.0,1151412000000.0,1054781000000.0,1448105000000.0,2118151000000.0,51620000000.0,3812101000000.0,-245844000000.0,53.88142584104872,59.08416366577148,48.91345596313477,68.83296203613281,50.57106781005859,34.49721145629883,61.38969421386719,-75504557037.0,6702032125
05,ANTIOQUIA,2020,5189381.0,1452691.0,6642072.0,148361905353776.75,135904293233099.19,1679283000000.0,4155791000000.0,1825611000000.0,1220273000000.0,592105000000.0,4580359000000.0,1008755000000.0,944744000000.0,816856000000.0,2330179000000.0,63534000000.0,3571604000000.0,-424569000000.0,55.9287066052301,55.57123947143555,56.49226379394531,66.38216400146484,56.63625335693359,39.51131820678711,60.97900009155273,-75504557037.0,6702032125
05,ANTIOQUIA,2021,5262054.0,1459086.0,6721140.0,177769072247213.84,161839199608316.34,1987204000000.0,4614672000000.0,2497386000000.0,1559056000000.0,926099000000.0,4583642000000.0,948365000000.0,860497000000.0,1549021000000.0,2117286000000.0,21554000000.0,3635277000000.0,31031000000.0,57.47525203413611,57.88516998291016,57.86491775512695,67.8817367553711,57.10532760620117,43.25717926025391,60.85718536376953,-75504557037.0,6702032125
05,ANTIOQUIA,2022,5315750.0,1461499.0,6777249.0,211751304283310.28,190746430392509.8,2137351000000.0,5182334000000.0,2835145000000.0,1748023000000.0,1073334000000.0,5273295000000.0,936789000000.0,791009000000.0,1898356000000.0,2347189000000.0,132643000000.0,4336506000000.0,-90961000000.0,58.11356370077402,59.99265289306641,58.12803268432617,69.17890167236328,61.44174194335938,41.6290168762207,58.31103515625,-75504557037.0,6702032125
05,ANTIOQUIA,2023,5363526.0,1462599.0,6826125.0,231121935249122.75,209517948853669.56,2257351000000.0,5735262000000.0,3228864000000.0,1966806000000.0,1246196000000.0,5867655000000.0,1303048000000.0,1040604000000.0,1925816000000.0,2506398000000.0,66984000000.0,4564607000000.0,-132393000000.0,58.99216490005458,60.25467300415039,58.86933898925781,71.61981964111328,61.51893615722656,42.28567504882812,59.40454483032227,-75504557037.0,6702032125
05,ANTIOQUIA,2024,5403715.0,1477084.0,6880799.0,253232379909463.94,230523974937911.53,2353408000000.0,6496020000000.0,3396046000000.0,2105397000000.0,1262248000000.0,6776068000000.0,1218172000000.0,950569000000.0,2177874000000.0,3099974000000.0,130521000000.0,5557896000000.0,-280049000000.0,59.23516225525809,60.32413482666016,58.89464569091797,71.39295196533203,62.50334167480469,43.76861572265625,58.52728652954102,-75504557037.0,6702032125
08,ATLÁNTICO,2018,2404819.0,130687.0,2535506.0,43368866167068.52,38947399570734.11,337481000000.0,1187585000000.0,674679000000.0,478394000000.0,193980000000.0,1353227000000.0,210510000000.0,191268000000.0,464169000000.0,512906000000.0,90538000000.0,1142717000000.0,-165642000000.0,54.98459858149812,62.78607940673828,57.15804672241211,70.29695129394531,41.61841583251953,41.15533828735352,56.89275741577148,-74965219492.0,10677009534
08,ATLÁNTICO,2019,2475498.0,133410.0,2608908.0,46574753007383.14,41668703561620.805,405958000000.0,1191542000000.0,715927000000.0,491330000000.0,223515000000.0,1452599000000.0,227946000000.0,205087000000.0,487981000000.0,475614000000.0,5684000000.0,1224652000000.0,-261057000000.0,58.49934738453933,63.372314453125,58.25032424926758,72.52041625976562,48.96419143676758,43.61294937133789,64.27588653564453,-74965219492.0,10677009534
08,ATLÁNTICO,2020,2556800.0,136588.0,2693388.0,44832642843820.72,40512713594316.09,,1213002000000.0,641724000000.0,466179000000.0,173892000000.0,1244712000000.0,204708000000.0,184372000000.0,437016000000.0,571279000000.0,103855000000.0,1040004000000.0,-31710000000.0,58.92423203752305,60.77303695678711,61.03402709960938,73.07331848144531,50.43391036987305,45.7213020324707,62.50979614257812,-74965219492.0,10677009534
08,ATLÁNTICO,2021,2602268.0,139028.0,2741296.0,52768256342546.46,47404602268471.05,506912000000.0,1285435000000.0,795113000000.0,555954000000.0,236939000000.0,1632771000000.0,225075000000.0,211901000000.0,570038000000.0,490323000000.0,13906000000.0,1407696000000.0,-347335000000.0,59.70018639815766,63.56130981445312,61.61349105834961,73.5416488647461,51.23349380493164,46.60223770141602,61.64893341064453,-74965219492.0,10677009534
08,ATLÁNTICO,2022,2633270.0,140739.0,2774009.0,63907142766072.57,56904435459605.53,628461000000.0,1614380000000.0,956924000000.0,674383000000.0,281476000000.0,1925279000000.0,337818000000.0,292374000000.0,619106000000.0,657456000000.0,44410000000.0,1587461000000.0,-310900000000.0,59.44354914619127,63.90075302124023,59.84878158569336,74.36682891845703,52.05558395385742,42.85247039794922,63.63687896728516,-74965219492.0,10677009534
08,ATLÁNTICO,2023,2663066.0,142335.0,2805401.0,70861502411372.48,63578694585540.08,138407000000.0,1663637000000.0,936342000000.0,639026000000.0,296363000000.0,1988423000000.0,380555000000.0,266596000000.0,555788000000.0,727294000000.0,59954000000.0,1607868000000.0,-324786000000.0,60.37304601211418,63.98446273803711,59.14129638671875,76.1205062866211,51.89300537109375,45.05098342895508,66.04801940917969,-74965219492.0,10677009534
08,ATLÁNTICO,2024,2692867.0,143928.0,2836795.0,76818386924929.1,69160121354996.11,1103338000000.0,1873439000000.0,963048000000.0,648805000000.0,312952000000.0,1771697000000.0,263241000000.0,262991000000.0,699807000000.0,910391000000.0,80991000000.0,1508456000000.0,101742000000.0,61.93217888374231,64.05657958984375,63.69758987426758,78.15422058105469,52.60445404052734,46.14286422729492,66.93737030029297,-74965219492.0,10677009534
11,"BOGOTÁ, D.C.",2018,7366187.0,24869.0,7391056.0,253941024498588.6,,,,,,,,,,,,,,,67.5497587332062,87.34886169433594,58.72373962402344,77.81149291992188,69.36207580566406,33.95153427124023,78.10084533691406,-74181072702.0,4316107698
11,"BOGOTÁ, D.C.",2019,7507403.0,25799.0,7533202.0,273524354237230.25,,,,,,,,,,,,,,,69.00295255829532,87.36750793457031,60.10909652709961,81.22875213623047,75.09551239013672,31.13109970092773,79.08573913574219,-74181072702.0,4316107698
11,"BOGOTÁ, D.C.",2020,7690578.0,26986.0,7717564.0,260747484382421.8,,,,,,,,,,,,,,,68.6837047114122,82.25691223144531,60.85139465332031,82.31864929199219,79.23819732666016,28.47378730773926,78.9632797241211,-74181072702.0,4316107698
11,"BOGOTÁ, D.C.",2021,7777174.0,27746.0,7804920.0,303287430746684.9,,,,,,,,,,,,,,,69.6141563263151,84.82369232177734,60.49412155151367,83.46810913085938,80.475341796875,28.49680709838867,79.92687225341797,-74181072702.0,4316107698
11,"BOGOTÁ, D.C.",2022,7820740.0,28466.0,7849206.0,362156848369662.06,,,,,,,,,,,,,,,70.9169842359229,87.94395446777344,61.19391250610352,84.90364074707031,82.59961700439453,28.27421951293945,80.58656311035156,-74181072702.0,4316107698
