Codigo_DIVIPOLA|Departamento|Sector|Tipo_registro|Año|Estado_dato|Valor_miles_millones_COP|Unidad|Fuente
0|COLOMBIA|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2005|Definitivo|25439.0|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
0|COLOMBIA|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2006|Definitivo|27425.0|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
0|COLOMBIA|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2007|Definitivo|29715.0|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
0|COLOMBIA|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2008|Definitivo|31869.0|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
0|COLOMBIA|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2009|Definitivo|33554.0|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
0|COLOMBIA|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2010|Definitivo|34411.0|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
0|COLOMBIA|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2011|Definitivo|37709.0|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
0|COLOMBIA|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2012|Definitivo|37209.0|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
0|COLOMBIA|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2013|Definitivo|38509.0|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
0|COLOMBIA|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2014|Definitivo|41555.0|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
0|COLOMBIA|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2015|Definitivo|48124.0|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
0|COLOMBIA|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2016|Definitivo|57065.0|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
0|COLOMBIA|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2017|Definitivo|58815.0|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
0|COLOMBIA|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2018|Definitivo|61497.0|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
0|COLOMBIA|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2019|Definitivo|67958.0|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
0|COLOMBIA|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2020|Definitivo|74970.0|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
0|COLOMBIA|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2021|Definitivo|92690.0|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
0|COLOMBIA|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2022|Definitivo|129919.0|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
0|COLOMBIA|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2023|Definitivo|139608.0|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
0|COLOMBIA|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2024|Provisional|162691.0|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
0|COLOMBIA|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2025|Preliminar|184547.596451233|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
