nombre_departamento;nombre_entidad;anio;grupo_edad;hombres;mujeres
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2018;0-4;223.0;250.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2018;5-9;253.0;253.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2018;10-14;269.0;246.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2018;15-19;255.0;225.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2018;20-24;232.0;222.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2018;25-29;221.0;241.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2018;30-34;197.0;234.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2018;35-39;186.0;221.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2018;40-44;167.0;194.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2018;45-49;174.0;194.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2018;50-54;185.0;208.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2018;55-59;167.0;193.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2018;60-64;127.0;148.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2018;65-69;90.0;100.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2018;70-74;61.0;65.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2018;75-79;40.0;43.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2018;80-84;24.0;26.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2018;85-89;16.0;12.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2018;90-94;7.0;9.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2018;95-99;8.0;9.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2018;100+;2.0;1.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2019;0-4;224.0;250.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2019;5-9;249.0;253.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2019;10-14;268.0;241.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2019;15-19;257.0;222.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2019;20-24;232.0;222.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2019;25-29;223.0;244.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2019;30-34;199.0;239.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2019;35-39;187.0;224.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2019;40-44;172.0;200.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2019;45-49;171.0;193.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2019;50-54;184.0;208.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2019;55-59;171.0;197.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2019;60-64;129.0;153.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2019;65-69;92.0;103.0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;2019;70-74;63.0;70.0
