Territorio,Año,Área geográfica,Sexo,Edad,Población
Total Nacional,2018,Cabecera,Total,Total,36414521
Total Nacional,2018,Cabecera,Hombres,Total,17450356
Total Nacional,2018,Cabecera,Mujeres,Total,18964165
Total Nacional,2018,Cabecera,Hombres,0,267725
Total Nacional,2018,Cabecera,Hombres,1,271659
Total Nacional,2018,Cabecera,Hombres,2,275579
Total Nacional,2018,Cabecera,Hombres,3,279172
Total Nacional,2018,Cabecera,Hombres,4,282059
Total Nacional,2018,Cabecera,Hombres,5,284726
Total Nacional,2018,Cabecera,Hombres,6,288053
Total Nacional,2018,Cabecera,Hombres,7,291880
Total Nacional,2018,Cabecera,Hombres,8,295932
Total Nacional,2018,Cabecera,Hombres,9,299857
Total Nacional,2018,Cabecera,Hombres,10,303787
Total Nacional,2018,Cabecera,Hombres,11,307960
Total Nacional,2018,Cabecera,Hombres,12,308600
Total Nacional,2018,Cabecera,Hombres,13,308921
Total Nacional,2018,Cabecera,Hombres,14,308508
Total Nacional,2018,Cabecera,Hombres,15,309013
Total Nacional,2018,Cabecera,Hombres,16,309651
Total Nacional,2018,Cabecera,Hombres,17,312341
Total Nacional,2018,Cabecera,Hombres,18,311464
Total Nacional,2018,Cabecera,Hombres,19,311626
Total Nacional,2018,Cabecera,Hombres,20,312571
Total Nacional,2018,Cabecera,Hombres,21,314681
Total Nacional,2018,Cabecera,Hombres,22,316457
Total Nacional,2018,Cabecera,Hombres,23,317727
Total Nacional,2018,Cabecera,Hombres,24,316270
Total Nacional,2018,Cabecera,Hombres,25,311156
Total Nacional,2018,Cabecera,Hombres,26,304416
Total Nacional,2018,Cabecera,Hombres,27,297294
Total Nacional,2018,Cabecera,Hombres,28,289727
Total Nacional,2018,Cabecera,Hombres,29,282227
Total Nacional,2018,Cabecera,Hombres,30,273730
Total Nacional,2018,Cabecera,Hombres,31,267924
Total Nacional,2018,Cabecera,Hombres,32,262868
Total Nacional,2018,Cabecera,Hombres,33,259141
Total Nacional,2018,Cabecera,Hombres,34,256726
Total Nacional,2018,Cabecera,Hombres,35,253976
Total Nacional,2018,Cabecera,Hombres,36,250172
Total Nacional,2018,Cabecera,Hombres,37,246544
Total Nacional,2018,Cabecera,Hombres,38,240499
Total Nacional,2018,Cabecera,Hombres,39,233169
Total Nacional,2018,Cabecera,Hombres,40,224143
Total Nacional,2018,Cabecera,Hombres,41,216740
Total Nacional,2018,Cabecera,Hombres,42,208217
Total Nacional,2018,Cabecera,Hombres,43,203021
Total Nacional,2018,Cabecera,Hombres,44,200216
Total Nacional,2018,Cabecera,Hombres,45,198572
Total Nacional,2018,Cabecera,Hombres,46,197598
Total Nacional,2018,Cabecera,Hombres,47,197618
Total Nacional,2018,Cabecera,Hombres,48,197431
Total Nacional,2018,Cabecera,Hombres,49,197105
Total Nacional,2018,Cabecera,Hombres,50,194984
Total Nacional,2018,Cabecera,Hombres,51,194052
Total Nacional,2018,Cabecera,Hombres,52,191353
Total Nacional,2018,Cabecera,Hombres,53,188829
Total Nacional,2018,Cabecera,Hombres,54,185112
Total Nacional,2018,Cabecera,Hombres,55,180222
Total Nacional,2018,Cabecera,Hombres,56,173949
Total Nacional,2018,Cabecera,Hombres,57,166605
Total Nacional,2018,Cabecera,Hombres,58,158491
Total Nacional,2018,Cabecera,Hombres,59,151310
Total Nacional,2018,Cabecera,Hombres,60,144139
Total Nacional,2018,Cabecera,Hombres,61,137827
Total Nacional,2018,Cabecera,Hombres,62,131008
Total Nacional,2018,Cabecera,Hombres,63,125316
Total Nacional,2018,Cabecera,Hombres,64,119163
Total Nacional,2018,Cabecera,Hombres,65,112959
Total Nacional,2018,Cabecera,Hombres,66,106877
Total Nacional,2018,Cabecera,Hombres,67,101105
Total Nacional,2018,Cabecera,Hombres,68,95248
Total Nacional,2018,Cabecera,Hombres,69,89659
Total Nacional,2018,Cabecera,Hombres,70,83989
Total Nacional,2018,Cabecera,Hombres,71,78212
Total Nacional,2018,Cabecera,Hombres,72,72246
Total Nacional,2018,Cabecera,Hombres,73,66950
Total Nacional,2018,Cabecera,Hombres,74,62232
Total Nacional,2018,Cabecera,Hombres,75,58328
Total Nacional,2018,Cabecera,Hombres,76,54902
Total Nacional,2018,Cabecera,Hombres,77,51503
Total Nacional,2018,Cabecera,Hombres,78,47956
Total Nacional,2018,Cabecera,Hombres,79,44318
Total Nacional,2018,Cabecera,Hombres,80,40491
Total Nacional,2018,Cabecera,Hombres,81,36428
Total Nacional,2018,Cabecera,Hombres,82,32598
Total Nacional,2018,Cabecera,Hombres,83,29328
Total Nacional,2018,Cabecera,Hombres,84,26280
Total Nacional,2018,Cabecera,Hombres,85,23432
Total Nacional,2018,Cabecera,Hombres,86,20531
Total Nacional,2018,Cabecera,Hombres,87,17905
Total Nacional,2018,Cabecera,Hombres,88,15344
Total Nacional,2018,Cabecera,Hombres,89,13101
Total Nacional,2018,Cabecera,Hombres,90,10869
Total Nacional,2018,Cabecera,Hombres,91,8754
Total Nacional,2018,Cabecera,Hombres,92,6944
Total Nacional,2018,Cabecera,Hombres,93,5380
Total Nacional,2018,Cabecera,Hombres,94,4157
Total Nacional,2018,Cabecera,Hombres,95,3185
Total Nacional,2018,Cabecera,Hombres,96,2387
Total Nacional,2018,Cabecera,Hombres,97,1772
Total Nacional,2018,Cabecera,Hombres,98,1303
Total Nacional,2018,Cabecera,Hombres,99,994
Total Nacional,2018,Cabecera,Hombres,100+,3880
Total Nacional,2018,Cabecera,Mujeres,0,254961
Total Nacional,2018,Cabecera,Mujeres,1,259756
Total Nacional,2018,Cabecera,Mujeres,2,263118
Total Nacional,2018,Cabecera,Mujeres,3,266313
Total Nacional,2018,Cabecera,Mujeres,4,269609
Total Nacional,2018,Cabecera,Mujeres,5,272563
Total Nacional,2018,Cabecera,Mujeres,6,276055
Total Nacional,2018,Cabecera,Mujeres,7,279396
Total Nacional,2018,Cabecera,Mujeres,8,283374
Total Nacional,2018,Cabecera,Mujeres,9,287406
Total Nacional,2018,Cabecera,Mujeres,10,291740
Total Nacional,2018,Cabecera,Mujeres,11,296246
Total Nacional,2018,Cabecera,Mujeres,12,297202
Total Nacional,2018,Cabecera,Mujeres,13,298219
Total Nacional,2018,Cabecera,Mujeres,14,299635
Total Nacional,2018,Cabecera,Mujeres,15,302119
Total Nacional,2018,Cabecera,Mujeres,16,304723
Total Nacional,2018,Cabecera,Mujeres,17,308827
Total Nacional,2018,Cabecera,Mujeres,18,313178
Total Nacional,2018,Cabecera,Mujeres,19,317186
Total Nacional,2018,Cabecera,Mujeres,20,320927
Total Nacional,2018,Cabecera,Mujeres,21,321558
Total Nacional,2018,Cabecera,Mujeres,22,322506
Total Nacional,2018,Cabecera,Mujeres,23,323518
Total Nacional,2018,Cabecera,Mujeres,24,322371
Total Nacional,2018,Cabecera,Mujeres,25,318788
Total Nacional,2018,Cabecera,Mujeres,26,313173
Total Nacional,2018,Cabecera,Mujeres,27,306505
Total Nacional,2018,Cabecera,Mujeres,28,299926
Total Nacional,2018,Cabecera,Mujeres,29,292849
Total Nacional,2018,Cabecera,Mujeres,30,287622
Total Nacional,2018,Cabecera,Mujeres,31,283326
Total Nacional,2018,Cabecera,Mujeres,32,280401
Total Nacional,2018,Cabecera,Mujeres,33,277714
Total Nacional,2018,Cabecera,Mujeres,34,277528
Total Nacional,2018,Cabecera,Mujeres,35,277373
Total Nacional,2018,Cabecera,Mujeres,36,275696
Total Nacional,2018,Cabecera,Mujeres,37,272569
Total Nacional,2018,Cabecera,Mujeres,38,268359
Total Nacional,2018,Cabecera,Mujeres,39,260561
Total Nacional,2018,Cabecera,Mujeres,40,253844
Total Nacional,2018,Cabecera,Mujeres,41,245784
Total Nacional,2018,Cabecera,Mujeres,42,239126
Total Nacional,2018,Cabecera,Mujeres,43,233835
Total Nacional,2018,Cabecera,Mujeres,44,231381
Total Nacional,2018,Cabecera,Mujeres,45,229945
Total Nacional,2018,Cabecera,Mujeres,46,229476
Total Nacional,2018,Cabecera,Mujeres,47,230405
Total Nacional,2018,Cabecera,Mujeres,48,231750
Total Nacional,2018,Cabecera,Mujeres,49,230700
Total Nacional,2018,Cabecera,Mujeres,50,230852
Total Nacional,2018,Cabecera,Mujeres,51,229471
Total Nacional,2018,Cabecera,Mujeres,52,228566
Total Nacional,2018,Cabecera,Mujeres,53,225918
Total Nacional,2018,Cabecera,Mujeres,54,222863
Total Nacional,2018,Cabecera,Mujeres,55,218023
Total Nacional,2018,Cabecera,Mujeres,56,211302
Total Nacional,2018,Cabecera,Mujeres,57,204189
Total Nacional,2018,Cabecera,Mujeres,58,196600
Total Nacional,2018,Cabecera,Mujeres,59,188660
Total Nacional,2018,Cabecera,Mujeres,60,182047
Total Nacional,2018,Cabecera,Mujeres,61,174886
Total Nacional,2018,Cabecera,Mujeres,62,168043
Total Nacional,2018,Cabecera,Mujeres,63,160237
Total Nacional,2018,Cabecera,Mujeres,64,152692
Total Nacional,2018,Cabecera,Mujeres,65,144828
Total Nacional,2018,Cabecera,Mujeres,66,137347
Total Nacional,2018,Cabecera,Mujeres,67,130421
Total Nacional,2018,Cabecera,Mujeres,68,123662
Total Nacional,2018,Cabecera,Mujeres,69,116624
Total Nacional,2018,Cabecera,Mujeres,70,109791
Total Nacional,2018,Cabecera,Mujeres,71,102538
Total Nacional,2018,Cabecera,Mujeres,72,95757
Total Nacional,2018,Cabecera,Mujeres,73,89178
Total Nacional,2018,Cabecera,Mujeres,74,83336
Total Nacional,2018,Cabecera,Mujeres,75,78400
Total Nacional,2018,Cabecera,Mujeres,76,74468
Total Nacional,2018,Cabecera,Mujeres,77,70896
Total Nacional,2018,Cabecera,Mujeres,78,67031
Total Nacional,2018,Cabecera,Mujeres,79,62848
Total Nacional,2018,Cabecera,Mujeres,80,58496
Total Nacional,2018,Cabecera,Mujeres,81,54049
Total Nacional,2018,Cabecera,Mujeres,82,49585
Total Nacional,2018,Cabecera,Mujeres,83,45117
Total Nacional,2018,Cabecera,Mujeres,84,40603
Total Nacional,2018,Cabecera,Mujeres,85,36415
Total Nacional,2018,Cabecera,Mujeres,86,32633
Total Nacional,2018,Cabecera,Mujeres,87,28921
Total Nacional,2018,Cabecera,Mujeres,88,25421
Total Nacional,2018,Cabecera,Mujeres,89,22012
Total Nacional,2018,Cabecera,Mujeres,90,18749
Total Nacional,2018,Cabecera,Mujeres,91,15393
Total Nacional,2018,Cabecera,Mujeres,92,12319
Total Nacional,2018,Cabecera,Mujeres,93,9784
Total Nacional,2018,Cabecera,Mujeres,94,7697
Total Nacional,2018,Cabecera,Mujeres,95,6082
Total Nacional,2018,Cabecera,Mujeres,96,4744
Total Nacional,2018,Cabecera,Mujeres,97,3638
Total Nacional,2018,Cabecera,Mujeres,98,2596
Total Nacional,2018,Cabecera,Mujeres,99,1725
Total Nacional,2018,Cabecera,Mujeres,100+,5570
Total Nacional,2018,Cabecera,Total,0,522686
Total Nacional,2018,Cabecera,Total,1,531415
Total Nacional,2018,Cabecera,Total,2,538697
Total Nacional,2018,Cabecera,Total,3,545485
Total Nacional,2018,Cabecera,Total,4,551668
Total Nacional,2018,Cabecera,Total,5,557289
Total Nacional,2018,Cabecera,Total,6,564108
Total Nacional,2018,Cabecera,Total,7,571276
Total Nacional,2018,Cabecera,Total,8,579306
Total Nacional,2018,Cabecera,Total,9,587263
Total Nacional,2018,Cabecera,Total,10,595527
Total Nacional,2018,Cabecera,Total,11,604206
Total Nacional,2018,Cabecera,Total,12,605802
Total Nacional,2018,Cabecera,Total,13,607140
Total Nacional,2018,Cabecera,Total,14,608143
Total Nacional,2018,Cabecera,Total,15,611132
Total Nacional,2018,Cabecera,Total,16,614374
Total Nacional,2018,Cabecera,Total,17,621168
Total Nacional,2018,Cabecera,Total,18,624642
Total Nacional,2018,Cabecera,Total,19,628812
Total Nacional,2018,Cabecera,Total,20,633498
Total Nacional,2018,Cabecera,Total,21,636239
Total Nacional,2018,Cabecera,Total,22,638963
Total Nacional,2018,Cabecera,Total,23,641245
Total Nacional,2018,Cabecera,Total,24,638641
Total Nacional,2018,Cabecera,Total,25,629944
Total Nacional,2018,Cabecera,Total,26,617589
Total Nacional,2018,Cabecera,Total,27,603799
Total Nacional,2018,Cabecera,Total,28,589653
Total Nacional,2018,Cabecera,Total,29,575076
Total Nacional,2018,Cabecera,Total,30,561352
Total Nacional,2018,Cabecera,Total,31,551250
Total Nacional,2018,Cabecera,Total,32,543269
Total Nacional,2018,Cabecera,Total,33,536855
Total Nacional,2018,Cabecera,Total,34,534254
Total Nacional,2018,Cabecera,Total,35,531349
Total Nacional,2018,Cabecera,Total,36,525868
Total Nacional,2018,Cabecera,Total,37,519113
Total Nacional,2018,Cabecera,Total,38,508858
Total Nacional,2018,Cabecera,Total,39,493730
Total Nacional,2018,Cabecera,Total,40,477987
Total Nacional,2018,Cabecera,Total,41,462524
Total Nacional,2018,Cabecera,Total,42,447343
Total Nacional,2018,Cabecera,Total,43,436856
Total Nacional,2018,Cabecera,Total,44,431597
Total Nacional,2018,Cabecera,Total,45,428517
Total Nacional,2018,Cabecera,Total,46,427074
Total Nacional,2018,Cabecera,Total,47,428023
Total Nacional,2018,Cabecera,Total,48,429181
Total Nacional,2018,Cabecera,Total,49,427805
Total Nacional,2018,Cabecera,Total,50,425836
Total Nacional,2018,Cabecera,Total,51,423523
Total Nacional,2018,Cabecera,Total,52,419919
Total Nacional,2018,Cabecera,Total,53,414747
Total Nacional,2018,Cabecera,Total,54,407975
Total Nacional,2018,Cabecera,Total,55,398245
Total Nacional,2018,Cabecera,Total,56,385251
Total Nacional,2018,Cabecera,Total,57,370794
Total Nacional,2018,Cabecera,Total,58,355091
Total Nacional,2018,Cabecera,Total,59,339970
Total Nacional,2018,Cabecera,Total,60,326186
Total Nacional,2018,Cabecera,Total,61,312713
Total Nacional,2018,Cabecera,Total,62,299051
Total Nacional,2018,Cabecera,Total,63,285553
Total Nacional,2018,Cabecera,Total,64,271855
Total Nacional,2018,Cabecera,Total,65,257787
Total Nacional,2018,Cabecera,Total,66,244224
Total Nacional,2018,Cabecera,Total,67,231526
Total Nacional,2018,Cabecera,Total,68,218910
Total Nacional,2018,Cabecera,Total,69,206283
Total Nacional,2018,Cabecera,Total,70,193780
Total Nacional,2018,Cabecera,Total,71,180750
Total Nacional,2018,Cabecera,Total,72,168003
Total Nacional,2018,Cabecera,Total,73,156128
Total Nacional,2018,Cabecera,Total,74,145568
Total Nacional,2018,Cabecera,Total,75,136728
Total Nacional,2018,Cabecera,Total,76,129370
Total Nacional,2018,Cabecera,Total,77,122399
Total Nacional,2018,Cabecera,Total,78,114987
Total Nacional,2018,Cabecera,Total,79,107166
Total Nacional,2018,Cabecera,Total,80,98987
Total Nacional,2018,Cabecera,Total,81,90477
